Date,Time,Open,High,Low,Close
22/08/2022,00:00,21516.70000000,21900.00000000,19520.00000000,19555.61000000
29/08/2022,00:00,19555.61000000,20576.25000000,19540.00000000,20000.30000000
05/09/2022,00:00,20000.30000000,21860.00000000,18510.77000000,21826.87000000
12/09/2022,00:00,21826.87000000,22799.00000000,19320.01000000,19416.18000000
19/09/2022,00:00,19417.45000000,19956.00000000,18125.98000000,18807.38000000
26/09/2022,00:00,18809.13000000,20385.86000000,18471.28000000,19056.80000000
03/10/2022,00:00,19057.74000000,20475.00000000,18959.68000000,19439.02000000
10/10/2022,00:00,19439.96000000,19951.87000000,18190.00000000,19262.98000000
17/10/2022,00:00,19262.98000000,19706.66000000,18650.00000000,19570.40000000
24/10/2022,00:00,19570.40000000,21085.00000000,19157.00000000,20627.48000000
31/10/2022,00:00,20627.48000000,21480.65000000,20031.24000000,20905.58000000
07/11/2022,00:00,20905.58000000,21069.77000000,15588.00000000,16329.85000000
14/11/2022,00:00,16331.78000000,17190.00000000,15815.21000000,16280.23000000
21/11/2022,00:00,16279.50000000,16812.63000000,15476.00000000,16428.78000000
28/11/2022,00:00,16428.77000000,17324.00000000,15995.27000000,17105.70000000
05/12/2022,00:00,17106.65000000,17424.25000000,16678.83000000,17085.05000000
12/12/2022,00:00,17085.05000000,18387.95000000,16527.32000000,16738.21000000
19/12/2022,00:00,16739.00000000,17061.27000000,16256.30000000,16832.11000000
26/12/2022,00:00,16832.11000000,16972.83000000,16333.00000000,16616.75000000
02/01/2023,00:00,16617.17000000,17176.99000000,16548.70000000,17127.83000000
09/01/2023,00:00,17127.83000000,21258.00000000,17104.66000000,20871.50000000
16/01/2023,00:00,20872.99000000,23371.80000000,20407.15000000,22707.88000000
23/01/2023,00:00,22706.02000000,23960.54000000,22300.00000000,23742.30000000
30/01/2023,00:00,23743.37000000,24255.00000000,22500.00000000,22932.91000000
06/02/2023,00:00,22932.91000000,23452.00000000,21451.00000000,21783.54000000
13/02/2023,00:00,21782.37000000,25250.00000000,21351.07000000,24271.76000000
20/02/2023,00:00,24272.51000000,25250.00000000,22722.00000000,23554.85000000
27/02/2023,00:00,23554.85000000,24000.00000000,21971.13000000,22430.24000000
06/03/2023,00:00,22430.24000000,22602.19000000,19549.09000000,21997.11000000
13/03/2023,00:00,21998.05000000,28390.10000000,21813.88000000,27972.87000000
20/03/2023,00:00,27972.87000000,28868.05000000,26601.80000000,27968.05000000
27/03/2023,00:00,27968.05000000,29184.68000000,26508.14000000,28171.87000000
03/04/2023,00:00,28171.87000000,28775.00000000,27200.24000000,28323.76000000
10/04/2023,00:00,28323.76000000,31000.00000000,28170.00000000,30304.65000000
17/04/2023,00:00,30304.66000000,30485.00000000,27125.00000000,27590.60000000
24/04/2023,00:00,27590.59000000,30036.00000000,26942.82000000,29233.21000000
01/05/2023,00:00,29233.20000000,29820.00000000,27666.95000000,28430.10000000
08/05/2023,00:00,28430.09000000,28631.01000000,25811.46000000,26917.62000000
15/05/2023,00:00,26917.61000000,27663.59000000,26361.20000000,26747.78000000
22/05/2023,00:00,26747.78000000,28261.32000000,25871.89000000,28065.00000000
29/05/2023,00:00,28065.01000000,28447.14000000,26505.00000000,27115.21000000
05/06/2023,00:00,27115.20000000,27391.77000000,25351.02000000,25925.55000000
12/06/2023,00:00,25925.54000000,26839.99000000,24800.00000000,26339.97000000
19/06/2023,00:00,26339.98000000,31431.94000000,26256.61000000,30462.66000000
26/06/2023,00:00,30462.67000000,31282.00000000,29500.00000000,30617.03000000
03/07/2023,00:00,30617.02000000,31500.00000000,29701.02000000,30160.71000000
10/07/2023,00:00,30160.71000000,31804.20000000,29900.00000000,30231.99000000
17/07/2023,00:00,30232.00000000,30417.46000000,29512.00000000,30083.75000000
24/07/2023,00:00,30083.75000000,30099.58000000,28861.90000000,29281.09000000
31/07/2023,00:00,29281.09000000,30047.50000000,28585.70000000,29088.42000000
07/08/2023,00:00,29088.43000000,30244.00000000,28701.03000000,29303.84000000
